"","channel","attrs","choosed_sku","choosed_channel","chayi_huizong"
"277","area_rank","xiuchang","长袖","(400,600]",0.120488025307908
"278","area_rank","xiuchang","长袖","(600,800]",0.252762211948258
"279","area_rank","xiuchang","长袖","(800,3e+03]",0.248874059188755
"280","area_rank","xiuchang","长袖","[0,200]",0.0887445436759588
"281","area_rank","xiuchang","吊带","(200,400]",0.131590855324076
"282","area_rank","xiuchang","吊带","(400,600]",0.135902181478172
"283","area_rank","xiuchang","吊带","(600,800]",0.22496447334069
"284","area_rank","xiuchang","吊带","(800,3e+03]",0.389004041032687
"285","area_rank","xiuchang","吊带","[0,200]",0.112478110885175
"286","moshi_rank","xiuchang","短袖","NULL",0.0337468879185586
"287","moshi_rank","xiuchang","短袖","SPM",0.0456104284323044
"288","moshi_rank","xiuchang","短袖","商超",0.0437525561546825
"289","moshi_rank","xiuchang","短袖","地铺",0.0412237073119547
"290","moshi_rank","xiuchang","短袖","特卖",0.0561622862957348
"291","moshi_rank","xiuchang","无袖","NULL",0.0400893855950043
"292","moshi_rank","xiuchang","无袖","SPM",0.0417386248449141
"293","moshi_rank","xiuchang","无袖","商超",0.0440680698974849
"294","moshi_rank","xiuchang","无袖","地铺",0.0304701737913752
"295","moshi_rank","xiuchang","无袖","特卖",0.0917468700967981
"296","moshi_rank","xiuchang","露肩袖","NULL",0.0730867036351826
"297","moshi_rank","xiuchang","露肩袖","SPM",0.10271506989289
"298","moshi_rank","xiuchang","露肩袖","商超",0.0798701555456276
"299","moshi_rank","xiuchang","露肩袖","地铺",0.075211569938481
"300","moshi_rank","xiuchang","露肩袖","特卖",0.0959390623810331
"301","moshi_rank","xiuchang","背带","NULL",0.0740740740740741
"302","moshi_rank","xiuchang","背带","SPM",0.295396953164595
"303","moshi_rank","xiuchang","背带","商超",0.0952380952380952
"304","moshi_rank","xiuchang","背带","地铺",0.0816322031684462
"305","moshi_rank","xiuchang","背带","特卖",0.333333333333333
"306","moshi_rank","xiuchang","中袖","NULL",0.046059472679541
"307","moshi_rank","xiuchang","中袖","SPM",0.055387427482073
"308","moshi_rank","xiuchang","中袖","商超",0.0454463979345143
"309","moshi_rank","xiuchang","中袖","地铺",0.0552688881825416
"310","moshi_rank","xiuchang","中袖","特卖",0.0543571775564954
"311","moshi_rank","xiuchang","长袖","NULL",0.145850073896972
"312","moshi_rank","xiuchang","长袖","SPM",0.120169286649163
"313","moshi_rank","xiuchang","长袖","商超",0.203108440503349
"314","moshi_rank","xiuchang","长袖","地铺",0.0946534629949417
"315","moshi_rank","xiuchang","长袖","特卖",0.204938786222654
"316","moshi_rank","xiuchang","吊带","NULL",0.144203659888555
"317","moshi_rank","xiuchang","吊带","SPM",0.149752003969583
"318","moshi_rank","xiuchang","吊带","商超",0.285849408887102
"319","moshi_rank","xiuchang","吊带","地铺",0.11469400576637
"320","moshi_rank","xiuchang","吊带","特卖",0.387485051733999
"321","nzb","mianliao","1针织","中",0.0552207598695027
"322","nzb","mianliao","1针织","北",0.058488542564076
"323","nzb","mianliao","1针织","南",0.0657811061278604
"324","nzb","mianliao","1雪纺","中",0.0556534957301367
"325","nzb","mianliao","1雪纺","北",0.0401193110211966
"326","nzb","mianliao","1雪纺","南",0.0231543004729979
"327","nzb","mianliao","1化纤","中",0.0715207048668795
"328","nzb","mianliao","1化纤","北",0.0642816732705828
"329","nzb","mianliao","1化纤","南",0.0793910898929175
"330","nzb","mianliao","1印花","中",0.0705691807163116
"331","nzb","mianliao","1印花","北",0.068408737793825
"332","nzb","mianliao","1印花","南",0.0850659857614988
"333","nzb","mianliao","1牛仔","中",0.0550729040200452
"334","nzb","mianliao","1牛仔","北",0.0359377056078295
"335","nzb","mianliao","1牛仔","南",0.0602839282353747
"336","nzb","mianliao","1蕾丝","中",0.0467219938263042
"337","nzb","mianliao","1蕾丝","北",0.0439890299591211
"338","nzb","mianliao","1蕾丝","南",0.0708872941809436
"339","nzb","mianliao","1棉质","中",0.0495741590801757
"340","nzb","mianliao","1棉质","北",0.0547216827474424
"341","nzb","mianliao","1棉质","南",0.0509023219960295
"342","nzb","mianliao","1色织","中",0.0333013275090858
"343","nzb","mianliao","1色织","北",0.0438014615108079
"344","nzb","mianliao","1色织","南",0.0598900758392998
"345","nzb","mianliao","1棉麻","中",0.04202619268801
"346","nzb","mianliao","1棉麻","北",0.045345707171714
"347","nzb","mianliao","1棉麻","南",0.0457318691659236
"348","nzb","mianliao","1混纺","中",0.0416666666666667
"349","nzb","mianliao","1混纺","北",0.037037037037037
"350","nzb","mianliao","1混纺","南",0.0416666666666667
"351","nzb","mianliao","1毛织","中",0.111111111111111
"352","nzb","mianliao","1毛织","北",0.0833333333333333
"353","nzb","mianliao","1毛织","南",0.0833333333333333
"354","provi_rank","mianliao","1针织","县级",0.0523406018998914
"355","provi_rank","mianliao","1针织","地级",0.0611903178126676
"356","provi_rank","mianliao","1针织","直辖",0.0598420259481319
"357","provi_rank","mianliao","1针织","省级",0.074723491866217
"358","provi_rank","mianliao","1针织","镇级",0.0500376312067107
"359","provi_rank","mianliao","1雪纺","县级",0.0232810217911155
"360","provi_rank","mianliao","1雪纺","地级",0.0556438902180416
"361","provi_rank","mianliao","1雪纺","直辖",0.10034367374838
"362","provi_rank","mianliao","1雪纺","省级",0.0923502004844273
"363","provi_rank","mianliao","1雪纺","镇级",0.0583938844692125
"364","provi_rank","mianliao","1化纤","县级",0.0597301477146367
"365","provi_rank","mianliao","1化纤","地级",0.0835355641798239
"366","provi_rank","mianliao","1化纤","直辖",0.10740709067231
"367","provi_rank","mianliao","1化纤","省级",0.0855542690813608
"368","provi_rank","mianliao","1化纤","镇级",0.0804485639875429
"369","provi_rank","mianliao","1印花","县级",0.0658713770554141
"370","provi_rank","mianliao","1印花","地级",0.0876630159755134
"371","provi_rank","mianliao","1印花","直辖",0.11072349489695
"372","provi_rank","mianliao","1印花","省级",0.0924217004985282
"373","provi_rank","mianliao","1印花","镇级",0.0827273833689182
"374","provi_rank","mianliao","1牛仔","县级",0.0376179885036148
"375","provi_rank","mianliao","1牛仔","地级",0.0518901582069574
"376","provi_rank","mianliao","1牛仔","直辖",0.110433485733172
"377","provi_rank","mianliao","1牛仔","省级",0.0665133311120227
"378","provi_rank","mianliao","1牛仔","镇级",0.0380489475746486
"379","provi_rank","mianliao","1蕾丝","县级",0.0387953203369623
"380","provi_rank","mianliao","1蕾丝","地级",0.054750911529863
"381","provi_rank","mianliao","1蕾丝","直辖",0.0819108315928596
"382","provi_rank","mianliao","1蕾丝","省级",0.0474671540306073
"383","provi_rank","mianliao","1蕾丝","镇级",0.0575901042997787
"384","provi_rank","mianliao","1棉质","县级",0.0471010233156154
"385","provi_rank","mianliao","1棉质","地级",0.0564704356395719
"386","provi_rank","mianliao","1棉质","直辖",0.0666138560902132
"387","provi_rank","mianliao","1棉质","省级",0.0542590450935749
"388","provi_rank","mianliao","1棉质","镇级",0.0574649398915179
"389","provi_rank","mianliao","1色织","县级",0.0345774168758323
"390","provi_rank","mianliao","1色织","地级",0.0593940509607914
"391","provi_rank","mianliao","1色织","直辖",0.0733646189200443
"392","provi_rank","mianliao","1色织","省级",0.0868306171953448
"393","provi_rank","mianliao","1色织","镇级",0.0420810170713136
"394","provi_rank","mianliao","1棉麻","县级",0.0435205810380029
"395","provi_rank","mianliao","1棉麻","地级",0.0492181595913283
"396","provi_rank","mianliao","1棉麻","直辖",0.043734374431068
"397","provi_rank","mianliao","1棉麻","省级",0.0466541764403743
"398","provi_rank","mianliao","1棉麻","镇级",0.0463884934372826
"399","provi_rank","mianliao","1混纺","县级",0.0333333333333333
