index,物料,choosed_sku,渠道,choosed_channel,chayi_huizong,attrs,channel,paiming
1雪纺省市级别,面料,1雪纺,省市级别,县级,0.044350946,mianliao,provi_rank,570
净色城市级别,平面,净色,城市级别,特一线,0.153623734,pingmian,city_rank,193
净色面积段,平面,净色,面积段,"(800,3e+03]",0.135556132,pingmian,area_rank,220
净色省市级别,平面,净色,省市级别,直辖,0.12903456,pingmian,provi_rank,231
净色面积段,平面,净色,面积段,"(600,800]",0.12652167,pingmian,area_rank,236
净色省市级别,平面,净色,省市级别,省级,0.119769943,pingmian,provi_rank,253
净色南中北,平面,净色,南中北,南,0.106503267,pingmian,nzb,291
净色城市级别,平面,净色,城市级别,一线,0.105225867,pingmian,city_rank,297
净色模式,平面,净色,模式,NULL,0.103274364,pingmian,moshi_rank,302
净色模式,平面,净色,模式,特卖,0.101866398,pingmian,moshi_rank,307
净色模式,平面,净色,模式,SPM,0.096717501,pingmian,moshi_rank,324
净色南中北,平面,净色,南中北,中,0.094642603,pingmian,nzb,333
净色模式,平面,净色,模式,商超,0.093225989,pingmian,moshi_rank,341
净色面积段,平面,净色,面积段,"(400,600]",0.079881188,pingmian,area_rank,403
净色省市级别,平面,净色,省市级别,地级,0.075459358,pingmian,provi_rank,416
净色省市级别,平面,净色,省市级别,镇级,0.073570859,pingmian,provi_rank,423
净色面积段,平面,净色,面积段,"(200,400]",0.072758812,pingmian,area_rank,426
净色城市级别,平面,净色,城市级别,四线,0.07142452,pingmian,city_rank,430
净色面积段,平面,净色,面积段,"[0,200]",0.066928067,pingmian,area_rank,447
净色城市级别,平面,净色,城市级别,二线,0.062570784,pingmian,city_rank,463
净色南中北,平面,净色,南中北,北,0.058699838,pingmian,nzb,484
净色模式,平面,净色,模式,地铺,0.058657224,pingmian,moshi_rank,485
净色城市级别,平面,净色,城市级别,三线,0.057854388,pingmian,city_rank,491
净色省市级别,平面,净色,省市级别,县级,0.054478725,pingmian,provi_rank,511
印花省市级别,平面,印花,省市级别,直辖,0.628434656,pingmian,provi_rank,2
印花模式,平面,印花,模式,特卖,0.574264938,pingmian,moshi_rank,3
印花面积段,平面,印花,面积段,"(600,800]",0.521632546,pingmian,area_rank,5
印花城市级别,平面,印花,城市级别,特一线,0.468040893,pingmian,city_rank,8
印花面积段,平面,印花,面积段,"(800,3e+03]",0.456409718,pingmian,area_rank,11
印花城市级别,平面,印花,城市级别,一线,0.438698534,pingmian,city_rank,16
印花省市级别,平面,印花,省市级别,省级,0.419840112,pingmian,provi_rank,19
印花面积段,平面,印花,面积段,"(400,600]",0.315156092,pingmian,area_rank,44
印花模式,平面,印花,模式,商超,0.30379417,pingmian,moshi_rank,50
印花南中北,平面,印花,南中北,中,0.228478152,pingmian,nzb,84
印花模式,平面,印花,模式,SPM,0.218181542,pingmian,moshi_rank,96
印花面积段,平面,印花,面积段,"(200,400]",0.211046595,pingmian,area_rank,105
印花城市级别,平面,印花,城市级别,三线,0.198521905,pingmian,city_rank,116
印花模式,平面,印花,模式,地铺,0.19383402,pingmian,moshi_rank,121
印花南中北,平面,印花,南中北,北,0.193828153,pingmian,nzb,122
印花南中北,平面,印花,南中北,南,0.193458906,pingmian,nzb,124
印花省市级别,平面,印花,省市级别,县级,0.191623578,pingmian,provi_rank,127
印花模式,平面,印花,模式,NULL,0.183405375,pingmian,moshi_rank,144
印花面积段,平面,印花,面积段,"[0,200]",0.173262632,pingmian,area_rank,156
印花城市级别,平面,印花,城市级别,二线,0.172136172,pingmian,city_rank,157
印花省市级别,平面,印花,省市级别,地级,0.166526086,pingmian,provi_rank,172
印花城市级别,平面,印花,城市级别,四线,0.15339009,pingmian,city_rank,195
印花省市级别,平面,印花,省市级别,镇级,0.141311401,pingmian,provi_rank,213
字母模式,平面,字母,模式,特卖,0.204108475,pingmian,moshi_rank,113
字母面积段,平面,字母,面积段,"(600,800]",0.166589956,pingmian,area_rank,171
字母省市级别,平面,字母,省市级别,直辖,0.161684473,pingmian,provi_rank,183
字母模式,平面,字母,模式,SPM,0.161048722,pingmian,moshi_rank,184
字母面积段,平面,字母,面积段,"(400,600]",0.146549616,pingmian,area_rank,202
字母省市级别,平面,字母,省市级别,省级,0.142179805,pingmian,provi_rank,211
字母城市级别,平面,字母,城市级别,一线,0.138290677,pingmian,city_rank,218
字母面积段,平面,字母,面积段,"(800,3e+03]",0.13029653,pingmian,area_rank,229
字母面积段,平面,字母,面积段,"(200,400]",0.118216163,pingmian,area_rank,257
字母模式,平面,字母,模式,NULL,0.117057719,pingmian,moshi_rank,259
字母南中北,平面,字母,南中北,南,0.112287137,pingmian,nzb,273
字母城市级别,平面,字母,城市级别,特一线,0.110253273,pingmian,city_rank,278
字母南中北,平面,字母,南中北,北,0.108312566,pingmian,nzb,286
字母省市级别,平面,字母,省市级别,地级,0.105200326,pingmian,provi_rank,298
字母省市级别,平面,字母,省市级别,镇级,0.095657482,pingmian,provi_rank,327
字母城市级别,平面,字母,城市级别,二线,0.09350007,pingmian,city_rank,339
字母模式,平面,字母,模式,商超,0.091151597,pingmian,moshi_rank,349
字母城市级别,平面,字母,城市级别,三线,0.091007855,pingmian,city_rank,350
字母南中北,平面,字母,南中北,中,0.086594517,pingmian,nzb,371
字母模式,平面,字母,模式,地铺,0.085539043,pingmian,moshi_rank,376
字母省市级别,平面,字母,省市级别,县级,0.083337056,pingmian,provi_rank,384
字母城市级别,平面,字母,城市级别,四线,0.079959058,pingmian,city_rank,402
字母面积段,平面,字母,面积段,"[0,200]",0.074633209,pingmian,area_rank,419
拼接面积段,平面,拼接,面积段,"(800,3e+03]",0.131811448,pingmian,area_rank,224
拼接城市级别,平面,拼接,城市级别,特一线,0.131095359,pingmian,city_rank,227
拼接面积段,平面,拼接,面积段,"(600,800]",0.109347258,pingmian,area_rank,282
拼接省市级别,平面,拼接,省市级别,省级,0.085588532,pingmian,provi_rank,375
拼接省市级别,平面,拼接,省市级别,直辖,0.0824493,pingmian,provi_rank,389
拼接面积段,平面,拼接,面积段,"(400,600]",0.080070522,pingmian,area_rank,398
