id,name,type,address,location,pname,cityname,adname,city
B0FFL7CMZ8,森马,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,长乐路132号一楼临街,118.790031,32.016001,江苏省,南京市,秦淮区,江苏省
B0FFKR4SEM,森马,购物服务;服装鞋帽皮具店;品牌服装店,箍桶巷43号1幢附近,118.788860,32.015802,江苏省,南京市,秦淮区,江苏省
B0FFKAZYVM,森马(太平商场),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,太平南路279号太平商场F4层,118.792511,32.032926,江苏省,南京市,秦淮区,江苏省
B0FFHDU03C,森马(卓冉瞻园奥特莱斯),购物服务;服装鞋帽皮具店;品牌服装店,詹园路9号卓冉瞻园奥特莱斯1F层,118.787344,32.019242,江苏省,南京市,秦淮区,江苏省
B0FFG4B2KF,森马(新医路店),购物服务;服装鞋帽皮具店;品牌服装店,上元二街325号,118.847041,31.953556,江苏省,南京市,江宁区,江苏省
B0FFFPLW1A,森马(卓冉瞻园奥特莱斯店),购物服务;服装鞋帽皮具店;品牌服装店,贡院街139号,118.787392,32.019254,江苏省,南京市,秦淮区,江苏省
B0FFF61TEC,森马(迈皋桥店),购物服务;服装鞋帽皮具店;品牌服装店,和燕路348号沃尔玛1层,118.812010,32.106796,江苏省,南京市,栖霞区,江苏省
B0FFF3KY2I,森马(新百店),购物服务;服装鞋帽皮具店;品牌服装店,中山南路3号南京新百6楼(近新街口地铁站),118.785736,32.040138,江苏省,南京市,秦淮区,江苏省
B001911RAE,森马(贡院西街),购物服务;服装鞋帽皮具店;品牌服装店,夫子庙贡院西街48号,118.789118,32.021942,江苏省,南京市,秦淮区,江苏省
B00190CYRN,森马(先锋奥特莱斯商场店),购物服务;服装鞋帽皮具店;品牌服装店,中央路417号先锋奥特莱斯商场F2层,118.783015,32.087482,江苏省,南京市,鼓楼区,江苏省
B001909O85,森马(贡院街店),购物服务;服装鞋帽皮具店;品牌服装店,南京夫子庙-秦淮风光带贡院街99-2号,118.790537,32.020579,江苏省,南京市,秦淮区,江苏省
B0FFFZU7IZ,森马(诚信大道店),购物服务;服装鞋帽皮具店;品牌服装店,诚信大道990号,118.834141,31.908977,江苏省,南京市,江宁区,江苏省
B0FFJONOPK,森马(南京大厂鑫乐广场店),购物服务;服装鞋帽皮具店;品牌服装店,新华路138号鑫乐生活广场2层,118.747101,32.222211,江苏省,南京市,六合区,江苏省
B0FFH6UM4I,森马(慕斯荟店),购物服务;服装鞋帽皮具店;品牌服装店,浦珠南路26号MS慕斯荟F2层,118.646621,32.074121,江苏省,南京市,浦口区,江苏省
B0FFG022D4,森马(新医路店),购物服务;服装鞋帽皮具店;品牌服装店,步行街2幢,118.845677,31.952944,江苏省,南京市,江宁区,江苏省
B0FFFDGM4P,森马(澳林广场店),购物服务;服装鞋帽皮具店;品牌服装店,浦珠北路126号澳林购物广场1层,118.698956,32.112975,江苏省,南京市,浦口区,江苏省
B0FFFA2ACQ,森马(文鼎广场店),购物服务;服装鞋帽皮具店;品牌服装店,格致路99号文鼎广场七栋F1层,118.898694,31.915262,江苏省,南京市,江宁区,江苏省
B0FFF5TJCY,森马(富腾奥特莱斯商场),购物服务;服装鞋帽皮具店;品牌服装店,金箔路138号富腾奥特莱斯商场F1层,118.851632,31.949455,江苏省,南京市,江宁区,江苏省
B00190AJIC,森马(金年华广场店),购物服务;服装鞋帽皮具店;品牌服装店,新华路528号金年华广场F3层,118.764146,32.231865,江苏省,南京市,六合区,江苏省
B001908HTB,森马(凤凰大街),购物服务;服装鞋帽皮具店;品牌服装店,凤凰大街11-2号(南京市浦口区卫生局东南),118.625927,32.057873,江苏省,南京市,浦口区,江苏省
B001905NLH,森马(达家巷店),购物服务;服装鞋帽皮具店;品牌服装店,长江路15-4号,118.840849,32.342469,江苏省,南京市,六合区,江苏省
B0FFL2IBS0,森马,购物服务;服装鞋帽皮具店;品牌服装店,南渠北路89号附近,119.938175,30.272830,浙江省,杭州市,余杭区,浙江省
B0FFJHJOUG,森马,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,世纪联华负一楼,120.120728,30.308498,浙江省,杭州市,拱墅区,浙江省
B0FFGIZ2ED,森马,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,江城路紫阳街道558号世纪联华超市一楼,120.175979,30.234716,浙江省,杭州市,上城区,浙江省
B0FFG97HWA,森马,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,锦衣直街与锦衣街交叉口东南100米,120.275410,30.317900,浙江省,杭州市,江干区,浙江省
B0FFFZ7WAI,森马(文一路物美店),购物服务;服装鞋帽皮具店;品牌服装店,文一路298号物美大卖场1层,120.122590,30.288030,浙江省,杭州市,西湖区,浙江省
B0FFFFZBV4,森马(延安路一店),购物服务;服装鞋帽皮具店;品牌服装店,延安路292号杭州工联精品服饰城1层292-1,120.164276,30.255115,浙江省,杭州市,上城区,浙江省
B023B09UAH,森马(延安路一店),购物服务;服装鞋帽皮具店;品牌服装店,延安路236号,120.164452,30.251075,浙江省,杭州市,上城区,浙江省
B0FFG87CP9,森马(高沙物美店),购物服务;服装鞋帽皮具店;品牌服装店,金沙大道201号物美大卖场1层,120.334708,30.308591,浙江省,杭州市,江干区,浙江省
B023B0BQLR,森马(杭州延安路特卖店),购物服务;服装鞋帽皮具店;品牌服装店,创新路与天竺路交叉口东150米,120.150772,30.169483,浙江省,杭州市,滨江区,浙江省
B0FFIMJIEZ,森马(西溪印象城),购物服务;服装鞋帽皮具店;品牌服装店,五常大道1号西溪印象城L2层,120.051663,30.248082,浙江省,杭州市,余杭区,浙江省
B0FFG8FX11,森马(杭州良渚玉琮路店),购物服务;服装鞋帽皮具店;品牌服装店,良渚镇玉琮路91号,120.052555,30.379226,浙江省,杭州市,余杭区,浙江省
B0FFJO2A9Y,森马(九堡新天地广场店),购物服务;服装鞋帽皮具店;品牌服装店,杭海路1211号九堡新天地广场南楼1层,120.266341,30.311787,浙江省,杭州市,江干区,浙江省
B0FFJ43NJ4,森马(下沙物美店),购物服务;服装鞋帽皮具店;品牌服装店,4号大街物美大卖场下沙店1层,120.346963,30.306340,浙江省,杭州市,江干区,浙江省
B0FFJ3XST9,森马(九堡物美店),购物服务;服装鞋帽皮具店;品牌服装店,九堡镇九环路48号九堡物美店1层,120.264266,30.321450,浙江省,杭州市,江干区,浙江省
B0FFJ3SNDM,森马(望江物美店),购物服务;服装鞋帽皮具店;品牌服装店,望江东路333号物美超市望江东路店,120.191287,30.228511,浙江省,杭州市,上城区,浙江省
B0FFIWV4PR,森马(萧山宝龙广场店),购物服务;服装鞋帽皮具店;品牌服装店,建设一路200号宝龙广场1F层,120.253152,30.196092,浙江省,杭州市,萧山区,浙江省
B0FFIP10FA,森马(乔中路),购物服务;服装鞋帽皮具店;品牌服装店,乔司物美一楼,120.283082,30.347235,浙江省,杭州市,余杭区,浙江省
B0FFI7U6FF,森马(星光国际广场2幢),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,江南大道228号星光国际广场2幢B1层,120.209254,30.207575,浙江省,杭州市,滨江区,浙江省
B0FFHIO2W3,森马(新安大街店),购物服务;服装鞋帽皮具店;品牌服装店,千岛湖风景区新安大街63-3号,119.043096,29.605518,浙江省,杭州市,淳安县,浙江省
B0FFHHKWPK,森马(杭州下沙商贸城店),购物服务;服装鞋帽皮具店;品牌服装店,下沙街道下沙商贸城,120.339340,30.306564,浙江省,杭州市,江干区,浙江省
B0FFHH8BQV,森马(杭州凤凰山路一店),购物服务;服装鞋帽皮具店;品牌服装店,凤凰山路445-2号附近,119.939313,30.269571,浙江省,杭州市,余杭区,浙江省
