id,品牌,名称,省份,城市,区县,地址,属性,经纬度,距离
B0FFJVEQTT,森马,森马,江苏省,扬州市,广陵区,曙光路35号,成人,"119.538874,32.362339",3449
B0FFJV4ATX,森马,森马,江苏省,无锡市,江阴市,周庄镇光辉路411号,成人,"120.408359,31.860660",4581
B0FFJD20KF,森马,森马,江苏省,常州市,溧阳市,溧城镇南大街与燕河路交叉口万达广场1F,成人,"119.494461,31.401903",3653
B0FFJ8OAMB,森马,森马,江苏省,南通市,如皋市,羊城路与314县道交叉口西北50米,成人,"120.547518,32.206159",3507
B0FFISL06Z,森马,森马,江苏省,淮安市,淮阴区,新渡乡佟洼街供销社,成人,"119.095583,33.640583",2458
B0FFHIV8C1,森马,森马,江苏省,苏州市,张家港市,金港中央广场步行街与长江中路交叉口南100米,成人,"120.407556,31.956306",294
B0FFHBL2NF,森马,森马,江苏省,苏州市,张家港市,千禧南路与德申路交叉口东北200米,成人,"120.490352,31.993429",4346
B0FFH746Z0,森马,森马,江苏省,宿迁市,泗洪县,龙集镇101县道邮政储蓄银行旁,成人,"118.536323,33.403671",2686
B0202167VF,森马,森马,江苏省,扬州市,广陵区,杭集镇曙光路83号,成人,"119.538665,32.365013",1999
B0FFKAZYVM,森马,森马(太平商场),江苏省,南京市,秦淮区,太平南路279号太平商场F4层,成人,"118.792511,32.032926",1488
